SK_ID_CURR,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,AGE,EMPLOYED_YEARS,NAME_EDUCATION_TYPE,CNT_FAM_MEMBERS,EXT_SOURCE_2,CREDIT_MEAN,DEBT_MEAN,DEBT_RATIO,OVERDUE_RATIO,ACTIVE_RATIO,CREDIT_COUNT,MAX_OVERDUE_LOG,HISTORY_YEARS,DPD_MEAN,DPD_MAX,MINOR_RATIO,MAJOR_FLAG,PAY_RATIO_MEAN,INSTALL_COUNT,Class
268765,1,1,1,11.40757606,12.50618094,9.510519036,12.50618094,50.03013699,21.8109589,1,3,0.664344043,12.7697893,12.50045348,0.291011382,0,0.5,6,0,4.180821918,2.229525522,4.025351691,0.272727273,1,1,44,0
127518,0,1,1,12.10071769,13.65071964,10.12368677,13.3171091,59.1890411,41.14794521,1,3,0.647737109,12.30230819,11.11769085,0.060299235,0,0.25,16,0,7.175342466,0.158224005,1.386294361,0.085714286,0,2,35,0
241197,0,0,0,12.2185001,13.1588168,10.12458902,13.04656382,39.16164384,11.37534247,1,2,0.63896177,13.88550386,13.31814828,0.479871853,0,0.666666667,6,0,3.638356164,0.461345567,1.791759469,0.172413793,0,3,29,1
273263,0,1,0,12.32386013,13.53472598,10.55989294,13.42246945,50.00821918,2.293150685,1,2,0.629536942,12.63206398,11.76306823,0.3705825,0,0.375,8,0,3.994520548,1.588531228,3.295836866,0.206896552,0,1,29,1
261088,1,1,2,12.32386013,14.08080361,10.49080188,13.94522304,41.69589041,8.265753425,1,4,0.429165897,12.71839764,7.429853132,0.012952276,0,0.375,8,0,7.871232877,0.569533225,2.772588722,0.186046512,0,1,43,1
387239,0,0,1,11.74404512,13.46116433,10.34295143,13.23211603,39.7260274,5.315068493,3,2,0.149521883,12.12284169,9.701952595,0.108485465,0,0.4,10,0,6.605479452,0.693147181,2.708050201,0.1,0,2,30,1
130697,0,1,0,11.30221678,12.71239464,9.560257533,12.43718833,53.82465753,0,1,1,0.162192106,12.35461641,0,0,0,0.285714286,7,0,4.679452055,2.410798678,3.610917913,0.285714286,1,1,14,1
245095,0,0,0,11.96718709,13.42246945,10.45152225,13.42246945,29.29863014,5.569863014,1,2,0.263143591,11.71059358,11.00358416,0.16557019,0,0.230769231,13,0,4.906849315,1.360976553,3.17805383,0.442857143,0,1,70,1
305843,0,0,0,12.04942468,13.92292895,10.76437128,13.75894126,52.62739726,0.904109589,3,2,0.560517489,12.24531999,10.90639696,0.152887823,0,0.153846154,13,0,7.983561644,0,0,0,0,2,117,0
350784,0,1,0,12.2185001,13.01700508,10.47885013,13.01700508,49.99452055,4.717808219,1,2,0.388714964,12.68656748,12.41055337,0.361023482,0,0.428571429,14,0,7.687671233,0.037740328,0.693147181,0.038461538,0,2,26,1
133742,0,0,0,12.2185001,13.63591249,10.10895581,13.45525923,59.14246575,0,3,1,0.298697896,13.04364873,10.68094306,0.096705714,0,0.272727273,11,0,6.769863014,0.087861356,2.197224577,0.020408163,0,3,98,0
244172,0,1,0,11.96718709,13.37997946,9.952182474,13.19932627,44.15068493,1.345205479,1,1,0.099479603,11.99707907,11.26350531,0.195101161,0,0.25,8,0,7.295890411,0.559615788,2.302585093,0.1875,0,3,64,0
441645,1,1,0,11.81303746,13.32548869,10.35620196,13.11231506,54.14794521,11.89863014,1,2,0.320910356,12.28218379,12.15569078,0.88345625,0,0.833333333,6,0,7.608219178,1.147402453,3.218875825,0.325,0,1,40,1
323058,0,1,0,11.24505909,13.53579798,10.00355911,13.53579798,41.24931507,0.649315068,3,2,0.159679234,12.2199435,11.90671753,0.32946272,0,0.375,8,0,6.747945205,0.174353387,1.609437912,0.071428571,0,1,42,1
250813,0,1,0,12.58622336,13.56104209,10.40370208,13.44878672,64.77534247,0,3,2,0.574011633,12.77534933,0,0,0,0.4,5,0,6.312328767,1.386294361,3.36729583,0.25,0,2,20,0
338211,0,0,1,11.84582705,12.53527027,9.511851382,12.34366267,36.05753425,16.15890411,1,3,0.702362334,12.26420506,9.199102229,0.044521128,0,0.333333333,21,0,7.849315068,2.699681951,6.284134161,0.125,1,1,40,1
194830,0,1,3,11.30221678,11.67132141,9.368966735,11.54733655,44.16986301,8.630136986,1,5,0.569658818,11.80295353,0,0,0,0,8,0,5.964383562,0.236388778,1.098612289,0.133333333,0,1,15,0
239348,0,1,0,11.90834697,12.25703664,8.978975619,12.02275659,43.93150685,24.05753425,3,2,0.693334678,13.55797346,12.38774816,0.217462158,0,0.833333333,6,0,7.6,0.169899037,1.386294361,0.074074074,0,1,27,0
